Hf,TVF,OH,SVF,TF,IP,phiedge
3716.91,912.344,-22.3171,-1.48404,-800.674,-18.4258,-0.0336305
3612.59,1130.06,18861.7,-1.66126,-843.706,57282.6,-0.0538502
3335.40,780.466,-29.9485,-1.59323,-1145.69,1.86194,-0.0347991
3247.57,980.778,17310.1,-1.43033,-1181.75,46733.6,-0.0532520
3336.63,776.733,-30.2572,-1.63978,-1144.97,11.4828,-0.0350747
3258.47,964.180,16131.1,-1.50373,-1178.68,41794.7,-0.0527482
3337.73,778.488,-31.5309,-1.68632,-1148.83,3.64404,-0.0349589
3240.24,996.913,18911.3,-1.52879,-1188.21,52442.0,-0.0524152
3334.21,776.533,-31.7272,-1.75077,-1143.16,7.41438,-0.0350074
3236.64,994.641,18996.1,-39.2365,-1182.79,55061.5,-0.0533909
3328.97,773.517,-32.4849,199.867,-1140.90,-1.90414,-0.0215416
3246.01,981.255,18195.4,127.788,-1176.18,48459.5,-0.0484214
3333.26,776.444,-31.2784,202.536,-1144.42,-11.0829,-0.0213892
3246.57,982.917,18091.0,128.737,-1179.82,48751.1,-0.0485156
3329.41,774.974,-30.4984,305.312,-1143.95,-8.37897,-0.0176690
3250.29,980.992,18386.1,232.415,-1178.18,45973.1,-0.0469290
3326.22,707.827,-33.0740,306.461,-1143.20,-4.54204,-0.0196154
3250.70,902.259,16546.5,237.523,-1174.62,41742.9,-0.0422693
3329.13,805.582,-30.4309,306.037,-1141.96,-16.5827,-0.0153693
3253.06,1007.80,17932.6,237.063,-1173.94,43471.5,-0.0475278
3327.77,740.200,-33.6689,306.642,-1137.73,-4.54684,-0.0180186
3248.33,937.892,17003.9,235.468,-1172.24,44076.4,-0.0444150
3330.91,737.763,-29.5446,412.352,-1127.86,-27.0773,-0.0150566
3268.40,952.375,21750.9,338.523,-1172.26,36250.7,-0.0441785
3326.08,770.679,-30.0607,254.164,-1131.49,-18.1219,-0.0192764
3230.37,997.163,21367.9,176.425,-1183.34,54962.1,-0.0501736
3329.75,800.419,-30.6499,253.025,-1134.48,-10.5743,-0.0177835
3229.03,1029.63,21373.8,175.182,-1188.07,59010.3,-0.0512937
3328.61,802.188,-29.9878,149.442,-1139.35,-10.2500,-0.0229834
3220.24,1033.10,21185.7,68.1869,-1186.87,63121.9,-0.0533641
3327.11,770.261,-31.4244,148.219,-1132.06,-7.17645,-0.0249961
3223.43,1003.87,21228.2,69.2216,-1184.54,62491.6,-0.0523464
3330.20,770.127,-32.9788,-1.06872,-1137.24,-4.63802,-0.0350814
3207.84,1008.29,21392.5,-31.1361,-1196.34,67146.3,-0.0547582
2245.54,566.991,-51.0305,-1.81342,-1886.30,13.6899,NaN
2133.36,789.777,18240.2,-1.74003,-1924.18,60272.4,NaN
2249.82,525.633,-51.2045,-1.71138,-1880.85,45.6523,-0.0270074
